类目id:11  类目名称:电脑硬件/显示器/电脑周边 
类目id:120856005  类目名称:网络游戏点卡>X-寻龙 
类目id:120856006  类目名称:网络游戏点卡>D-独孤九剑 
类目id:120856007  类目名称:汽车/用品/配件/改装>实体服务>内外饰加装装潢改装工时>天线安装工时 
类目id:120856008  类目名称:汽车/用品/配件/改装>实体服务>内外饰加装装潢改装工时>碳纤维改装件安装工时 
类目id:120856009  类目名称:购物提货券>美食代金券>甜品/冰淇淋/冷饮 
类目id:120858002  类目名称:基础建材>O2O专用（天猫专用） 
类目id:120858004  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>电瓶/蓄电池安装更换工时 
类目id:120860002  类目名称:网络游戏点卡>S-上游 
类目id:120860003  类目名称:网络游戏点卡>G-怪物联盟 
类目id:120860005  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>内饰部件安装改装工时 
类目id:120860007  类目名称:网络游戏点卡>F-伏魔者 
类目id:120860008  类目名称:网络游戏点卡>Z-醉八仙 
类目id:120860009  类目名称:汽车/用品/配件/改装>实体服务>内外饰加装装潢改装工时>出租车配件安装工时 
类目id:120864002  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>安全气囊部件安装改装工时 
类目id:120864005  类目名称:网络游戏点卡>B-百度币 
类目id:120866002  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>车窗/玻璃安装更换工时 
类目id:120866003  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>转向系统部件安装改装工时 
类目id:120868002  类目名称:网络游戏点卡>W-网页游戏>M-梦幻飞仙（淘宝专区） 
类目id:120868003  类目名称:网络游戏点卡>W-我叫MT 
类目id:120868004  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>发动机/动力系统部件更换工时 
类目id:120868005  类目名称:网络游戏点卡>L-零纪元 
类目id:120868006  类目名称:网络游戏点卡>Z-醉西游 
类目id:120868007  类目名称:网络游戏点卡>W-悟空传 
类目id:120868008  类目名称:网络游戏点卡>T-桃园 
类目id:120868009  类目名称:网络游戏点卡>S-三国争霸 
类目id:120868014  类目名称:教育培训>线上远程教学（已废弃，勿发）>职业资格考试（新） 
类目id:120870003  类目名称:网络游戏点卡>X-轩辕传奇 
类目id:120870006  类目名称:教育培训>线上远程教学（已废弃，勿发）>技能在线培训（新） 
类目id:120872001  类目名称:网络游戏点卡>W-网页游戏>R-热血海贼王（淘宝专区） 
类目id:120872002  类目名称:汽车/用品/配件/改装>实体服务>上门服务 
类目id:120872003  类目名称:网络游戏点卡>X-迅游 
类目id:120872004  类目名称:网络游戏点卡>B-碧之轨迹 
类目id:120874002  类目名称:网络游戏点卡>S-苏游 
类目id:120874003  类目名称:网络游戏点卡>T-颓废之心 
类目id:120874006  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>车门拉手安装改装工时 
类目id:120878006  类目名称:智能设备>智能手环 
类目id:120880001  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>变速箱部件更换安装工时 
类目id:120880002  类目名称:网络游戏点卡>D-大冲锋 
类目id:120880003  类目名称:网络游戏点卡>Y-英雄美人 
类目id:120880007  类目名称:汽车/用品/配件/改装>实体服务>电子产品安装改装工时>ECU/系统升级改装工时 
类目id:120882001  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>悬挂系统部件安装改装工时 
类目id:120882002  类目名称:网络游戏点卡>F-凡人修仙传 
类目id:120882003  类目名称:汽车/用品/配件/改装>实体服务>内外饰加装装潢改装工时>越野车外侧脚踏板安装工时 
类目id:120884001  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>点火系统部件安装改装工时 
类目id:120884003  类目名称:网络游戏点卡>L-龙之传奇 
类目id:120884004  类目名称:汽车/用品/配件/改装>实体服务>美容清洗服务>空调及管道清洗 
类目id:120888001  类目名称:网络游戏点卡>L-龙门客栈 
类目id:120888002  类目名称:网络游戏点卡>B-霸域 
类目id:120888003  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>刹车系统部件安装改装工时 
类目id:120890001  类目名称:网络游戏点卡>D-多玩YY 
类目id:120890002  类目名称:网络游戏点卡>Y-御龙在天 
类目id:120892002  类目名称:汽车/用品/配件/改装>实体服务>内外饰加装装潢改装工时>内饰改装翻新 
类目id:120892003  类目名称:教育培训>线上远程教学（已废弃，勿发）>生活百科在线培训（新） 
类目id:120894001  类目名称:淘女郎 
类目id:120950001  类目名称:保险分销 
类目id:121044002  类目名称:本地化生活服务>3C数码家电服务>软件服务 
类目id:121090003  类目名称:网络游戏点卡>H-黑金 
类目id:121112006  类目名称:网络游戏点卡>C-出发OL 
类目id:121120002  类目名称:包装>物流包装>EPE珍珠棉 
类目id:121124002  类目名称:网络游戏点卡>C-苍穹之剑 
类目id:121128001  类目名称:网络游戏点卡>D-斗破苍穹 
类目id:121136002  类目名称:本地化生活服务>3C数码家电服务>配送安装 
类目id:121138001  类目名称:包装>物流包装 
类目id:121142001  类目名称:包装>物流包装>纸箱 
类目id:121146003  类目名称:网络游戏点卡>Z-醉逍遥 
类目id:121148001  类目名称:包装>物流包装>飞机盒 
类目id:121148003  类目名称:网络游戏点卡>P-拍拍部落 
类目id:121154001  类目名称:本地化生活服务>数码维修>清洁保养>加氟 
类目id:121156002  类目名称:网络游戏点卡>A-奥比岛 
类目id:121162002  类目名称:网络游戏点卡>P-皮卡堂 
类目id:121166003  类目名称:网络游戏点卡>Z-掌上宝 
类目id:121178002  类目名称:网络游戏点卡>X-新侠义道 
类目id:121196001  类目名称:网络游戏点卡>T-天翼决 
类目id:121210001  类目名称:网络游戏点卡>W-网页游戏>H-横扫天下（淘宝专区） 
类目id:121216003  类目名称:网络游戏点卡>W-网页游戏>Q-秦美人（淘宝专区） 
类目id:121220002  类目名称:网络游戏点卡>W-网页游戏>G-攻城掠地（淘宝专区） 
类目id:121232003  类目名称:网络游戏点卡>W-网页游戏>A-暗黑西游记（淘宝专区） 
类目id:121244002  类目名称:网络游戏点卡>手游充值>S-神雕侠侣 
类目id:121254001  类目名称:网络游戏点卡>C-超能战联 
类目id:121256001  类目名称:网络游戏点卡>W-网页游戏>W-武尊（淘宝专区） 
类目id:121262001  类目名称:网络游戏点卡>W-网页游戏>L-烈焰（淘宝专区） 
类目id:121266001  类目名称:众筹 
类目id:121270001  类目名称:网络游戏点卡>L-炉石传说 
类目id:121270003  类目名称:婚庆/摄影/摄像服务>旅游婚纱摄影 
类目id:121272001  类目名称:网络游戏点卡>J-剑灵 
类目id:121274002  类目名称:众筹>书籍 
类目id:121278001  类目名称:众筹>影音 
类目id:121280001  类目名称:众筹>公益 
类目id:121282003  类目名称:网络游戏点卡>D-大航海志 
类目id:121284001  类目名称:众筹>娱乐 
类目id:121288001  类目名称:众筹>科技 
类目id:121290002  类目名称:网络游戏点卡>T-淘米一卡通 
类目id:121292001  类目名称:众筹>璁捐 
类目id:121292002  类目名称:网络游戏点卡>C-唱吧 
类目id:121360001  类目名称:网络游戏点卡>H-狐狸三国 
类目id:121364003  类目名称:童装/婴儿装/亲子装>儿童家居服 
类目id:121364004  类目名称:童装/婴儿装/亲子装>背心吊带 
类目id:121364007  类目名称:彩妆/香水/美妆工具>指甲油/美甲产品（新）>指甲彩妆 
类目id:121364011  类目名称:居家布艺>餐桌布艺>桌旗 
类目id:121364012  类目名称:运动/瑜伽/健身/球迷用品>田径运动器材>铁饼架 
类目id:121364013  类目名称:尿片/洗护/喂哺/推车床>宝宝洗浴护肤品>浴巾 
类目id:121364022  类目名称:孕妇装/孕产妇用品/营养>孕产妇护肤/洗护/祛纹>身体护理（新）>其他身体护理 
类目id:121364023  类目名称:孕妇装/孕产妇用品/营养>孕产妇护肤/洗护/祛纹>身体护理（新）>足膜 
类目id:121364026  类目名称:美容护肤/美体/精油>男士护理（新）>男士唇部磨砂膏 
类目id:121364027  类目名称:美容护肤/美体/精油>男士护理（新）>男士浴盐 
类目id:121364028  类目名称:珠宝/钻石/翡翠/黄金>天然珍珠（新）>手饰 
类目id:121364029  类目名称:鲜花速递/花卉仿真/绿植园艺>花艺包装/材料>制作工具（新）>胶枪 
类目id:121364031  类目名称:鲜花速递/花卉仿真/绿植园艺>花卉/蔬果/草坪种子（新）>家庭园艺种子 
类目id:121364032  类目名称:宠物/宠物食品及用品>猫/狗日用品>纰 
类目id:121364034  类目名称:古董/邮币/字画/收藏>陶/瓷/瓷片>瓷>摆件 
类目id:121364035  类目名称:古董/邮币/字画/收藏>玉石>独山玉（新）>烟嘴 
类目id:121364036  类目名称:古董/邮币/字画/收藏>收藏品保养/鉴定工具>篆刻工具（新）>砂纸 
类目id:121364037  类目名称:古董/邮币/字画/收藏>西洋收藏品（新）>摆件 
类目id:121364038  类目名称:古董/邮币/字画/收藏>玉石>紫牙乌/石榴石（新）>发饰 
类目id:121364039  类目名称:珠宝/钻石/翡翠/黄金>其他天然玉石>乌兰翠（新）>车挂 
类目id:121364040  类目名称:珠宝/钻石/翡翠/黄金>其他天然玉石>祁连玉/酒泉玉（新）>烟嘴 
类目id:121364041  类目名称:珠宝/钻石/翡翠/黄金>其他天然玉石>祁连玉/酒泉玉（新）>发饰 
类目id:121364043  类目名称:珠宝/钻石/翡翠/黄金>和田玉>车挂 
类目id:121364046  类目名称:厨房/烹饪用具>烹饪用具>锅具/煲/烧水壶>蒸格 
类目id:121364047  类目名称:床上用品>儿童床品>儿童床品套件/床单/被套/枕套>婴童床单 
类目id:121366003  类目名称:网络游戏点卡>Q-秦美人 
类目id:121366006  类目名称:童装/婴儿装/亲子装>儿童家居服>家居袍/睡袍 
类目id:121366007  类目名称:童装/婴儿装/亲子装>儿童家居服>家居服连体衣 
类目id:121366008  类目名称:尿片/洗护/喂哺/推车床>水杯/餐具/研磨/附件>果汁瓶 
类目id:121366010  类目名称:服饰配件/皮带/帽子/围巾>口袋巾 
类目id:121366011  类目名称:美容护肤/美体/精油>胸部护理（新） 
类目id:121366014  类目名称:美容护肤/美体/精油>身体护理（新）>身体磨砂 
类目id:121366015  类目名称:美容护肤/美体/精油>唇部护理（新）>唇膜 
类目id:121366018  类目名称:影音电器>影音家电配件>hifi音响配件>端子 
类目id:121366022  类目名称:户外/登山/野营/旅行用品>专项户外运动装备>滑雪装备>滑雪护具 
类目id:121366023  类目名称:厨房电器>其它厨房家电>制冰机 
类目id:121366024  类目名称:户外/登山/野营/旅行用品>防护/救生装备>取暖用品>暖宝宝贴 
类目id:121366026  类目名称:电子词典/电纸书/文化用品>收纳/陈列用品>笔架 
类目id:121366028  类目名称:奶粉/辅食/营养品/零食>婴幼儿调味品（新）>食用油 
类目id:121366031  类目名称:乐器/吉他/钢琴/配件>乐器配件>音叉 
类目id:121366033  类目名称:孕妇装/孕产妇用品/营养>孕产妇护肤/洗护/祛纹>身体护理（新）>身体皂 
类目id:121366035  类目名称:珠宝/钻石/翡翠/黄金>彩色宝石/贵重宝石>其他 
类目id:121366036  类目名称:美容护肤/美体/精油>男士护理（新）>男士沐浴露 
类目id:121366037  类目名称:珠宝/钻石/翡翠/黄金>天然珍珠（新）>胸饰 
类目id:121366038  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>园艺/刀/剪/锯（新）>芽接刀 
类目id:121366039  类目名称:鲜花速递/花卉仿真/绿植园艺>花卉/蔬果/草坪种子（新）>种球 
类目id:121366041  类目名称:宠物/宠物食品及用品>兔类及其用品>兔兔医疗用品 
类目id:121366043  类目名称:古董/邮币/字画/收藏>趣味收藏>罐 
类目id:121366044  类目名称:古董/邮币/字画/收藏>收藏品保养/鉴定工具>玉器鉴定/保养工具（新）>保养油 
类目id:121366045  类目名称:珠宝/钻石/翡翠/黄金>其他天然玉石>东陵石(新)>烟嘴 
类目id:121366046  类目名称:古董/邮币/字画/收藏>西洋收藏品（新）>黑胶唱片机 
类目id:121366047  类目名称:珠宝/钻石/翡翠/黄金>其他天然玉石>岫岩玉（新）>颈饰 
类目id:121366048  类目名称:珠宝/钻石/翡翠/黄金>其他天然玉石>祁连玉/酒泉玉（新）>笔搁 
类目id:121366050  类目名称:古董/邮币/字画/收藏>宗教用品>法器/供品>法轮 
类目id:121366051  类目名称:户外/登山/野营/旅行用品>炉具/餐具/野餐烧烤用品>点火用具 
类目id:121368002  类目名称:箱包皮具/热销女包/男包>证件包 
类目id:121368004  类目名称:童装/婴儿装/亲子装>儿童配饰>手链 
类目id:121368009  类目名称:床上用品>儿童床品>抱被 
类目id:121368010  类目名称:美容护肤/美体/精油>男士护理（新） 
类目id:121368011  类目名称:运动/瑜伽/健身/球迷用品>游泳>游泳装备>护脐贴 
类目id:121368013  类目名称:美容护肤/美体/精油>手部保养（新）>手膜 
类目id:121368014  类目名称:美容护肤/美体/精油>身体护理（新）>喷雾 
类目id:121368015  类目名称:美容护肤/美体/精油>精油芳疗>精油芳疗用具>熏香台座 
类目id:121368017  类目名称:尿片/洗护/喂哺/推车床>宝宝洗浴护肤品>护发素 
类目id:121368020  类目名称:运动包/户外包/配件>旅行箱包>旅行包 
类目id:121368025  类目名称:居家日用>挂历 
类目id:121368026  类目名称:乐器/吉他/钢琴/配件>乐器配件>乐器指甲 
类目id:121368027  类目名称:收纳整理>家庭整理用具>橡筋 
类目id:121368029  类目名称:孕妇装/孕产妇用品/营养>孕产妇护肤/洗护/祛纹>乳房护理（新）>乳晕护理 
类目id:121368032  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>园艺/刀/剪/锯（新） 
类目id:121368033  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>铲/耙/锹/锄（新）>铲子 
类目id:121368037  类目名称:宠物/宠物食品及用品>仓鼠类及其它小宠>小宠用品（新）>其他 
类目id:121368038  类目名称:古董/邮币/字画/收藏>手工艺/民俗>琥珀（新）>颈饰 
类目id:121368040  类目名称:古董/邮币/字画/收藏>收藏品保养/鉴定工具>通用工具（新）>盒子 
类目id:121368041  类目名称:古董/邮币/字画/收藏>玉石>独山玉（新）>其他 
类目id:121368042  类目名称:珠宝/钻石/翡翠/黄金>其他天然玉石>祁连玉/酒泉玉（新）>珠宝奇石 
类目id:121368044  类目名称:古董/邮币/字画/收藏>玉石>猫眼石（新）>手饰 
类目id:121368045  类目名称:古董/邮币/字画/收藏>宗教用品>法器/供品>钺刀 
类目id:121368046  类目名称:古董/邮币/字画/收藏>玉石>古玉/老玉（新）>珠宝半成品 
类目id:121368047  类目名称:古董/邮币/字画/收藏>玉石>尖晶石（新）>车挂 
类目id:121370007  类目名称:家庭/个人清洁工具>家务/地板清洁用具>袖套 
类目id:121370008  类目名称:家庭/个人清洁工具>家务/地板清洁用具>围裙 
类目id:121370009  类目名称:家庭/个人清洁工具>个人洗护清洁用具>浴刷 
类目id:121370010  类目名称:玩具/童车/益智/积木/模型>宝宝纪念品/个性产品>挂历 
类目id:121370012  类目名称:尿片/洗护/喂哺/推车床>奶瓶/奶瓶相关>保温箱 
类目id:121370019  类目名称:孕妇装/孕产妇用品/营养>家居服/哺乳装/秋衣裤>哺乳吊带 
类目id:121370021  类目名称:五金/工具>机电五金>电热设备>热电偶 
类目id:121370023  类目名称:乐器/吉他/钢琴/配件>乐器配件>胶带 
类目id:121370025  类目名称:洗护清洁剂/卫生巾/纸/香薰>洗发沐浴/个人清洁>口腔护理>护牙素 
类目id:121370030  类目名称:鲜花速递/花卉仿真/绿植园艺>花瓶/花器/花盆/花架（新） 
类目id:121370031  类目名称:宠物/宠物食品及用品>鸟类及用品>鸟用具（新）>笼子 
类目id:121370032  类目名称:宠物/宠物食品及用品>兔类及其用品>兔绳 
类目id:121370033  类目名称:宠物/宠物食品及用品>兔类及其用品>饮水器 
类目id:121370034  类目名称:古董/邮币/字画/收藏>紫砂（新）>茶碗 
类目id:121370035  类目名称:古董/邮币/字画/收藏>玉石>独山玉（新）>笔搁 
类目id:121370036  类目名称:古董/邮币/字画/收藏>书法/绘画>其他书法 
类目id:121370037  类目名称:珠宝/钻石/翡翠/黄金>和田玉>颈饰 
类目id:121370038  类目名称:古董/邮币/字画/收藏>玉石>其它玉石（新）>其他 
类目id:121370039  类目名称:古董/邮币/字画/收藏>玉石>橄榄石（新）>笔搁 
类目id:121370040  类目名称:珠宝/钻石/翡翠/黄金>其他天然玉石>马来玉（新）>颈饰 
类目id:121370041  类目名称:珠宝/钻石/翡翠/黄金>其他天然玉石>青海玉/昆仑玉（新）>珠宝半成品 
类目id:121370042  类目名称:古董/邮币/字画/收藏>玉石>刚玉（新）>发饰 
类目id:121380002  类目名称:童装/婴儿装/亲子装>儿童内衣裤 
类目id:121380009  类目名称:床上用品>床盖 
类目id:121380011  类目名称:居家布艺>窗帘门帘及配件>辅料配件>窗帘杆 
类目id:121380014  类目名称:运动/瑜伽/健身/球迷用品>跆拳道/武术/搏击>剑道>剑 
类目id:121380015  类目名称:户外/登山/野营/旅行用品>军迷服饰/军迷用品>军迷配饰>头盔 
类目id:121380017  类目名称:尿片/洗护/喂哺/推车床>驱蚊退烧用品>止痒膏 
类目id:121380018  类目名称:电子词典/电纸书/文化用品>印刷制品>挂历 
类目id:121380022  类目名称:运动包/户外包/配件>运动首饰 
类目id:121380025  类目名称:孕妇装/孕产妇用品/营养>妈妈产前产后用品>湿巾 
类目id:121380027  类目名称:玩具/童车/益智/积木/模型>早教/智能玩具>磁性贴 
类目id:121380028  类目名称:乐器/吉他/钢琴/配件>乐器配件>调音器 
类目id:121380031  类目名称:孕妇装/孕产妇用品/营养>孕产妇护肤/洗护/祛纹>手部护理（新） 
类目id:121380032  类目名称:孕妇装/孕产妇用品/营养>孕产妇护肤/洗护/祛纹>身体护理（新） 
类目id:121380034  类目名称:鲜花速递/花卉仿真/绿植园艺>花艺包装/材料>制作材料（新）>花心 
类目id:121380035  类目名称:宠物/宠物食品及用品>猫/狗日用品>床/垫/沙发（新）>垫子 
类目id:121380037  类目名称:古董/邮币/字画/收藏>手工艺/民俗>琉璃（新）>珠宝半成品 
类目id:121380038  类目名称:古董/邮币/字画/收藏>玉石>碧玺（新）>发饰 
类目id:121380039  类目名称:古董/邮币/字画/收藏>西洋收藏品（新）>腕表 
类目id:121380040  类目名称:珠宝/钻石/翡翠/黄金>其他天然玉石>岫岩玉（新）>珠宝半成品 
类目id:121380041  类目名称:古董/邮币/字画/收藏>书法/绘画>其他绘画 
类目id:121380042  类目名称:古董/邮币/字画/收藏>玉石>紫牙乌/石榴石（新）>颈饰 
类目id:121380043  类目名称:古董/邮币/字画/收藏>玉石>古玉/老玉（新）>手饰 
类目id:121380044  类目名称:珠宝/钻石/翡翠/黄金>其他天然玉石>汉白玉>发饰 
类目id:121380045  类目名称:珠宝/钻石/翡翠/黄金>其他天然玉石>阿富汗玉>车挂 
类目id:121380046  类目名称:古董/邮币/字画/收藏>玉石>橄榄石（新）>车挂 
类目id:121382005  类目名称:网络游戏点卡>Z-植物大战僵尸 
类目id:121382006  类目名称:网络游戏点卡>T-天天连萌 
类目id:121382007  类目名称:基础建材>配件专区>贴墙纸配件>其他墙纸胶 
类目id:121382008  类目名称:餐饮具>杯子/水杯/水壶>其他杯子 
类目id:121382013  类目名称:童装/婴儿装/亲子装>儿童家居服>家居服上装 
类目id:121382014  类目名称:彩妆/香水/美妆工具>高光 
类目id:121382018  类目名称:自行车/骑行装备/零配件>自行车零/配件>曲柄 
类目id:121382021  类目名称:尿片/洗护/喂哺/推车床>牙胶/牙刷/牙膏>牙胶 
类目id:121382022  类目名称:玩具/童车/益智/积木/模型>游泳池/戏水玩具>护耳贴 
类目id:121382028  类目名称:运动包/户外包/配件>收纳配件包>其他收纳包 
类目id:121382029  类目名称:商业/办公家具>超市家具>装卸车 
类目id:121382031  类目名称:孕妇装/孕产妇用品/营养>孕产妇护肤/洗护/祛纹>手部护理（新）>手膜 
类目id:121382032  类目名称:汽车/用品/配件/改装>汽车影音/车用电子/电器>车用电子/电器>电源转换器 
类目id:121382033  类目名称:尿片/洗护/喂哺/推车床>睡袋/凉席/枕头/床品>婴童被子/被套（新）>被子 
类目id:121382034  类目名称:鲜花速递/花卉仿真/绿植园艺>花艺包装/材料>制作材料（新）>手揉纸 
类目id:121382035  类目名称:宠物/宠物食品及用品>动物药品及药剂>猫/狗药品 
